condition,language,outcome,pair_id,estimate
same_language_different_starting_weights,german,learning_curve_auc,pair-08,0.40840171657034574
same_language_different_starting_weights,german,learning_curve_auc,pair-09,0.9038663569716965
same_language_different_starting_weights,german,learning_curve_auc,pair-10,1.087329619418914
same_language_different_starting_weights,german,learning_curve_auc,pair-11,1.1859422377901403
other_language_different_starting_weights,german,learning_curve_auc,pair-00,0.7945893021223283
other_language_different_starting_weights,german,learning_curve_auc,pair-01,0.5367947541412423
other_language_different_starting_weights,german,learning_curve_auc,pair-02,0.5286523207074678
other_language_different_starting_weights,german,learning_curve_auc,pair-03,0.7415958928341126
other_language_different_starting_weights,german,learning_curve_auc,pair-04,0.7855440219877527
other_language_different_starting_weights,german,learning_curve_auc,pair-05,1.2092502488736248
other_language_different_starting_weights,german,learning_curve_auc,pair-06,1.0371867774196364
other_language_different_starting_weights,german,learning_curve_auc,pair-07,1.2402030692363741
other_language_different_starting_weights,german,learning_curve_auc,pair-08,0.63961756128215
other_language_different_starting_weights,german,learning_curve_auc,pair-09,0.8659537173033005
other_language_different_starting_weights,german,learning_curve_auc,pair-10,0.6931578258719382
other_language_different_starting_weights,german,learning_curve_auc,pair-11,1.2233919833890514
