receiving_body_language,installed_rows,seed,final_english_perplexity,source_language_nll_increase
english,spanish_trained,10009,40.70976017969663,3.768394967468262
english,spanish_trained,10010,40.763550076573765,3.9502130794067383
english,spanish_trained,10011,40.8331998659257,3.9203323485717774
english,german_trained,10000,40.733400834102554,3.2241279366455076
english,german_trained,10001,40.84523561250524,3.819013014465332
english,german_trained,10002,40.70354887507098,2.6494969524841308
english,german_trained,10003,40.67225716838477,3.3361772879028315
english,german_trained,10004,40.633869975200874,2.8364638374633784
english,german_trained,10005,40.7342792881027,2.9361136347656247
english,german_trained,10006,40.584719860568164,3.2770698776855474
english,german_trained,10007,40.36042829629908,3.3624015961303715
english,german_trained,10008,40.3185818169763,2.3184038088989256
english,german_trained,10009,40.606338282843275,3.644845333374024
english,german_trained,10010,40.74472298373987,4.297175266052246
english,german_trained,10011,40.7714741642526,3.114174639434814
english,english_trained,10000,38.811593920448864,0.5515604860534666
english,english_trained,10001,38.98243897475847,0.5587267877197268
english,english_trained,10002,38.82098719081492,0.5469953718566893
english,english_trained,10003,38.824846010205356,0.6172252029724117
english,english_trained,10004,38.74714135900813,0.5819882214355467
english,english_trained,10005,38.86040517835561,0.5743985677795411
english,english_trained,10006,38.66886316931548,0.5237295454711912
english,english_trained,10007,38.5388282274415,0.5187986095581052
english,english_trained,10008,38.542226818950745,0.6044686378173827
english,english_trained,10009,38.742333402695394,0.5565771341552739
english,english_trained,10010,38.802206247551375,0.5566313781127925
english,english_trained,10011,38.86069239573718,0.5617007880554197
