study,claim_id,component_id,language,outcome,map_number,seed,estimate,analysis_unit,outcome_scale
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,93,0.0054311320539695,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,94,0.155708310808863,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,95,0.0154977677455263,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,96,0.0135924411325574,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,97,0.0832958371118988,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,98,0.0571414063628996,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,99,-0.0092096568883852,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,100,-0.003758722278522,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,step_zero,,101,0.0735610850429522,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,90,0.587430299909276,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,91,0.119661084096835,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,92,0.65338673328963,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,93,0.296152814243991,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,94,0.543011255553354,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,95,0.227703274202724,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,96,-0.0253179118202462,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,97,0.307584429462766,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,98,0.100105399778242,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,99,0.373309814606564,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,100,0.275320651640655,base_seed,raw
cross_run_transfer,co_trained_and_cross_run_equivalence,spanish_co_trained_minus_same_language_other_run,spanish,learning_curve_auc,,101,0.426805354729916,base_seed,raw
