language,estimand,english_updates,n,maps_averaged_within_seed,estimate,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high
spanish,remaining_effect_after_reassignment,200,12,3,0.0087474424074368,0.004639245300897,0.0128556395139765,0.0022209189512357,0.0152739658636377
spanish,remaining_effect_after_reassignment,400,12,3,-0.0272968478599608,-0.0382148959738375,-0.0163787997460841,-0.0446419009971912,-0.0099517947227305
spanish,remaining_effect_after_reassignment,800,12,3,-0.0181233238985837,-0.0281134961127881,-0.0081331516843792,-0.0339942988290954,-0.002252348968072
spanish,remaining_effect_after_reassignment,1500,12,3,-0.0191808418945225,-0.0275905555142577,-0.0107711282747873,-0.0325410073821432,-0.0058206764069018
spanish,remaining_effect_after_reassignment,3000,12,3,-0.0084915924949022,-0.0195602222338117,0.0025770372440074,-0.0260758684547876,0.0090926834649832
spanish,remaining_effect_after_reassignment,6000,12,3,-0.0030339036520117,-0.0085281811953519,0.0024603738913286,-0.0117624359817792,0.0056946286777556
spanish,remaining_effect_after_reassignment,6100,12,3,-0.0032845532687734,-0.0092934906843371,0.0027243841467902,-0.0128307045298926,0.0062615979923458
german,trained_row_effect,0,12,1,0.2381654076443,0.229530013437284,0.246800801851317,0.224446712707312,0.251884102581288
german,trained_row_effect,50,12,1,0.160594753532262,0.151684593725276,0.169504913339249,0.146439549808901,0.174749957255624
german,trained_row_effect,100,12,1,0.142754456187621,0.137770422198444,0.147738490176798,0.134836526766687,0.150672385608555
german,trained_row_effect,200,12,1,0.110960183187782,0.102651961863428,0.119268404512136,0.097761254327628,0.124159112047936
german,trained_row_effect,400,12,1,0.086030884002693,0.0783429762384038,0.093718791766982,0.073817421734081,0.0982443462713047
german,trained_row_effect,800,12,1,0.0618167923267572,0.0513631060635895,0.0722704785899252,0.045209451726735,0.0784241329267796
german,trained_row_effect,1500,12,1,0.0356128392193834,0.0282086955863059,0.043016982852461,0.0238501813329259,0.0473754971058411
german,trained_row_effect,3000,12,1,0.0286268141113799,0.0225628623114015,0.0346907659113585,0.0189932637647252,0.0382603644580348
german,trained_row_effect,6000,12,1,0.0163912451273635,0.0095832515795674,0.0231992386751595,0.0055756663157661,0.0272068239389608
german,trained_row_effect,6100,12,1,0.0162947178416637,0.0104031024755253,0.0221863332078021,0.0069349512859631,0.0256544843973642
german,correct_assignment_advantage,0,12,3,0.148301301165033,0.139522207791,0.157080394539066,0.134354317282834,0.162248285047232
german,correct_assignment_advantage,50,12,3,0.156401375492748,0.150543976017231,0.162258774968264,0.14709596631254,0.165706784672955
german,correct_assignment_advantage,100,12,3,0.146269818757661,0.141076773361758,0.151462864153563,0.13801984152762,0.154519795987702
german,correct_assignment_advantage,200,12,3,0.102277434816984,0.0948123754541582,0.109742494179809,0.0904180026208371,0.11413686701313
german,correct_assignment_advantage,400,12,3,0.0948221266104699,0.0875702345024959,0.102074018718444,0.0833013444480977,0.106342908772842
german,correct_assignment_advantage,800,12,3,0.0740703726054621,0.0627822656152336,0.0853584795956905,0.0561374221804311,0.0920033230304931
german,correct_assignment_advantage,1500,12,3,0.051430823557236,0.0456123979216525,0.0572492491928197,0.04218733051053,0.060674316603942
german,correct_assignment_advantage,3000,12,3,0.0335993437227804,0.0270554830602126,0.0401432043853482,0.0232033819417905,0.0439953055037703
german,correct_assignment_advantage,6000,12,3,0.0215834394508005,0.0175101562071973,0.0256567226944037,0.0151123822099472,0.0280544966916538
german,correct_assignment_advantage,6100,12,3,0.0218848181840049,0.0170368154277564,0.0267328209402536,0.0141829959773695,0.0295866403906406
german,remaining_effect_after_reassignment,0,12,3,0.0898641064792673,0.0856890270909752,0.0940391858675594,0.0832313298980722,0.0964968830604624
german,remaining_effect_after_reassignment,50,12,3,0.0041933780395145,-0.0032310690730178,0.0116178251520468,-0.007601535148105,0.0159882912271341
german,remaining_effect_after_reassignment,100,12,3,-0.0035153625700392,-0.0083301568166357,0.001299431676557,-0.0111644277858174,0.0041337026457386
german,remaining_effect_after_reassignment,200,12,3,0.0086827483707982,0.0034175029074362,0.0139479938341602,0.0003180698687407,0.0170474268728556
german,remaining_effect_after_reassignment,400,12,3,-0.0087912426077768,-0.0175152404445417,-6.72447710122325e-05,-0.0226506984802458,0.0050682132646918
german,remaining_effect_after_reassignment,800,12,3,-0.0122535802787047,-0.0183549199099526,-0.0061522406474569,-0.0219465271322525,-0.002560633425157
german,remaining_effect_after_reassignment,1500,12,3,-0.0158179843378525,-0.0204695631151449,-0.0111664055605602,-0.023207755863186,-0.0084282128125189
german,remaining_effect_after_reassignment,3000,12,3,-0.0049725296114003,-0.0106585324604796,0.0007134732376787,-0.0140056480339481,0.0040605888111472
german,remaining_effect_after_reassignment,6000,12,3,-0.0051921943234369,-0.0116294609413779,0.0012450722945041,-0.0154188145381616,0.0050344258912875
german,remaining_effect_after_reassignment,6100,12,3,-0.0055901003423413,-0.0116916736507101,0.0005114729660274,-0.0152834184291019,0.0041032177444191
