language,english_updates,estimand,seed,estimate
spanish,1500,other_run_same_language_donor,100,0.0580219508524931
spanish,1500,other_run_same_language_donor,101,0.0705628809309683
spanish,1500,other_language_donor,90,0.027133998629121
spanish,1500,other_language_donor,91,0.0114532104879161
spanish,1500,other_language_donor,92,0.0194326526201283
spanish,1500,other_language_donor,93,0.0175452555000302
spanish,1500,other_language_donor,94,0.0148155076552322
spanish,1500,other_language_donor,95,0.0255914004362398
spanish,1500,other_language_donor,96,0.04369347825189
spanish,1500,other_language_donor,97,-0.0101863852746569
spanish,1500,other_language_donor,98,0.0032377887001464
spanish,1500,other_language_donor,99,0.0476791795659272
spanish,1500,other_language_donor,100,0.0101381930449155
spanish,1500,other_language_donor,101,0.0161221320428611
spanish,3000,co_trained_rows,90,0.0156644140914894
spanish,3000,co_trained_rows,91,0.0535036525995674
spanish,3000,co_trained_rows,92,0.0368323621327674
spanish,3000,co_trained_rows,93,0.0369598153279077
spanish,3000,co_trained_rows,94,0.0438275788375716
spanish,3000,co_trained_rows,95,0.0163505021169726
spanish,3000,co_trained_rows,96,0.0488494610201695
spanish,3000,co_trained_rows,97,0.0323002697176376
spanish,3000,co_trained_rows,98,0.0377941089615597
spanish,3000,co_trained_rows,99,0.0521540852027652
spanish,3000,co_trained_rows,100,0.0293520160989131
spanish,3000,co_trained_rows,101,0.043293698940925
spanish,3000,other_run_same_language_donor,90,0.0227965409161844
spanish,3000,other_run_same_language_donor,91,0.0458690791656011
spanish,3000,other_run_same_language_donor,92,0.0447514719973593
spanish,3000,other_run_same_language_donor,93,0.041282999760791
spanish,3000,other_run_same_language_donor,94,0.0512562483464632
spanish,3000,other_run_same_language_donor,95,0.0124589236508416
spanish,3000,other_run_same_language_donor,96,0.0476501763029346
spanish,3000,other_run_same_language_donor,97,0.0323771420939934
spanish,3000,other_run_same_language_donor,98,0.0197862739095059
spanish,3000,other_run_same_language_donor,99,0.0633748572079043
spanish,3000,other_run_same_language_donor,100,0.0339085727729235
spanish,3000,other_run_same_language_donor,101,0.0472813615211064
spanish,3000,other_language_donor,90,0.0023397776614452
spanish,3000,other_language_donor,91,0.0303815630652099
spanish,3000,other_language_donor,92,0.0245800839101305
spanish,3000,other_language_donor,93,0.0141486345683465
spanish,3000,other_language_donor,94,0.0120066325032864
spanish,3000,other_language_donor,95,0.0034001610129822
spanish,3000,other_language_donor,96,0.0367393719248374
spanish,3000,other_language_donor,97,-0.0165641034547491
spanish,3000,other_language_donor,98,-0.0097862338288064
spanish,3000,other_language_donor,99,0.032086781825018
spanish,3000,other_language_donor,100,-0.0036992690695055
spanish,3000,other_language_donor,101,0.0327399661301209
spanish,6000,co_trained_rows,90,0.0054231726120052
spanish,6000,co_trained_rows,91,0.0265199831826865
spanish,6000,co_trained_rows,92,0.0192946899827785
spanish,6000,co_trained_rows,93,0.0286832102890165
spanish,6000,co_trained_rows,94,0.0184241938192338
spanish,6000,co_trained_rows,95,0.0386823480034315
spanish,6000,co_trained_rows,96,0.0360730213542679
spanish,6000,co_trained_rows,97,0.028092481205931
spanish,6000,co_trained_rows,98,0.0381782254613457
spanish,6000,co_trained_rows,99,0.0271417053320264
spanish,6000,co_trained_rows,100,0.0136039520177144
spanish,6000,co_trained_rows,101,0.0113379562338073
spanish,6000,other_run_same_language_donor,90,0.0016096676757133
spanish,6000,other_run_same_language_donor,91,0.0216948538115037
spanish,6000,other_run_same_language_donor,92,0.0233608551197961
spanish,6000,other_run_same_language_donor,93,0.0310310642360531
spanish,6000,other_run_same_language_donor,94,0.0123180862365599
spanish,6000,other_run_same_language_donor,95,0.0367975576027868
spanish,6000,other_run_same_language_donor,96,0.0250609759181633
spanish,6000,other_run_same_language_donor,97,0.0235020215977173
spanish,6000,other_run_same_language_donor,98,0.0328835112411684
spanish,6000,other_run_same_language_donor,99,0.03272733019843
spanish,6000,other_run_same_language_donor,100,0.0226022716007461
spanish,6000,other_run_same_language_donor,101,0.0155706755493886
spanish,6000,other_language_donor,90,-0.0084289192252239
spanish,6000,other_language_donor,91,0.0023622786920869
spanish,6000,other_language_donor,92,0.0110699078723761
spanish,6000,other_language_donor,93,0.00893863713738
spanish,6000,other_language_donor,94,-0.0026306064351164
spanish,6000,other_language_donor,95,-0.0047021807920374
spanish,6000,other_language_donor,96,0.0212550170656542
spanish,6000,other_language_donor,97,-0.0065716409441324
spanish,6000,other_language_donor,98,0.0066639859823533
spanish,6000,other_language_donor,99,0.0111576107101117
spanish,6000,other_language_donor,100,0.0061007916818538
spanish,6000,other_language_donor,101,0.0054643174583148
spanish,6100,co_trained_rows,90,0.0133670223678754
spanish,6100,co_trained_rows,91,0.0287794216834901
spanish,6100,co_trained_rows,92,0.0174401572874425
spanish,6100,co_trained_rows,93,0.0251288057931164
spanish,6100,co_trained_rows,94,0.033382745128134
spanish,6100,co_trained_rows,95,0.0385802795259483
spanish,6100,co_trained_rows,96,0.0317447259290078
spanish,6100,co_trained_rows,97,0.0321036956181049
spanish,6100,co_trained_rows,98,0.0444579909244164
spanish,6100,co_trained_rows,99,0.0396749430902745
spanish,6100,co_trained_rows,100,0.0099162620816917
spanish,6100,co_trained_rows,101,0.012950739129412
spanish,6100,other_run_same_language_donor,90,0.0110714800757477
spanish,6100,other_run_same_language_donor,91,0.0192085602725316
spanish,6100,other_run_same_language_donor,92,0.0203923811118351
spanish,6100,other_run_same_language_donor,93,0.031447441708221
spanish,6100,other_run_same_language_donor,94,0.0304401722743306
spanish,6100,other_run_same_language_donor,95,0.0334574815306968
spanish,6100,other_run_same_language_donor,96,0.0291835853096308
spanish,6100,other_run_same_language_donor,97,0.0279034989004647
spanish,6100,other_run_same_language_donor,98,0.0391531379536056
spanish,6100,other_run_same_language_donor,99,0.0432127967447727
spanish,6100,other_run_same_language_donor,100,0.0163869058975514
spanish,6100,other_run_same_language_donor,101,0.0135922348623328
spanish,6100,other_language_donor,90,-0.00967079461159
spanish,6100,other_language_donor,91,0.0132278084807194
spanish,6100,other_language_donor,92,0.0113470514783548
spanish,6100,other_language_donor,93,0.007574506536213
spanish,6100,other_language_donor,94,0.0080671231058914
spanish,6100,other_language_donor,95,-0.0038247928578333
spanish,6100,other_language_donor,96,0.0210106226793422
spanish,6100,other_language_donor,97,0.0046308797073881
spanish,6100,other_language_donor,98,0.0113077808880012
spanish,6100,other_language_donor,99,0.0132317426507307
spanish,6100,other_language_donor,100,-0.0005951023783496
spanish,6100,other_language_donor,101,0.0108615530518894
german,0,co_trained_rows,90,0.283437372587362
german,0,co_trained_rows,91,0.252974160604087
german,0,co_trained_rows,92,0.246388533624864
german,0,co_trained_rows,93,0.276930775278084
german,0,co_trained_rows,94,0.268317578472304
german,0,co_trained_rows,95,0.257094661224242
german,0,co_trained_rows,96,0.265645415946577
german,0,co_trained_rows,97,0.272570914854541
german,0,co_trained_rows,98,0.257983377077243
german,0,co_trained_rows,99,0.251787835601569
german,0,co_trained_rows,100,0.242940463938876
german,0,co_trained_rows,101,0.272316915974357
german,0,other_run_same_language_donor,90,0.251548168468028
german,0,other_run_same_language_donor,91,0.230699840689514
german,0,other_run_same_language_donor,92,0.219850388991691
german,0,other_run_same_language_donor,93,0.265514646013319
german,0,other_run_same_language_donor,94,0.244013005778272
german,0,other_run_same_language_donor,95,0.238812193984688
german,0,other_run_same_language_donor,96,0.231511882263979
german,0,other_run_same_language_donor,97,0.245876274972581
german,0,other_run_same_language_donor,98,0.219721749833115
german,0,other_run_same_language_donor,99,0.23681449886835
german,0,other_run_same_language_donor,100,0.226095401227182
german,0,other_run_same_language_donor,101,0.247526840640887
german,0,other_language_donor,90,0.0515931536051508
german,0,other_language_donor,91,0.0351565253460301
german,0,other_language_donor,92,0.037439164513322
german,0,other_language_donor,93,0.0282846149573304
german,0,other_language_donor,94,0.0613317485433712
german,0,other_language_donor,95,0.0376500672936228
german,0,other_language_donor,96,0.035260745339473
german,0,other_language_donor,97,0.0096088460975464
german,0,other_language_donor,98,0.01878041294808
german,0,other_language_donor,99,0.0332077756169973
german,0,other_language_donor,100,0.0574162807316095
german,0,other_language_donor,101,0.0638517852716889
german,50,co_trained_rows,90,0.183494440530283
german,50,co_trained_rows,91,0.168672014686193
german,50,co_trained_rows,92,0.169719944112753
german,50,co_trained_rows,93,0.183764901459097
german,50,co_trained_rows,94,0.194000517064099
german,50,co_trained_rows,95,0.159167004924831
german,50,co_trained_rows,96,0.187587678303797
german,50,co_trained_rows,97,0.198253111499743
german,50,co_trained_rows,98,0.176811547453868
german,50,co_trained_rows,99,0.171145203112506
german,50,co_trained_rows,100,0.145919287013326
german,50,co_trained_rows,101,0.20076056299855
german,50,other_run_same_language_donor,90,0.164767617639742
german,50,other_run_same_language_donor,91,0.157361334625487
german,50,other_run_same_language_donor,92,0.147751749412087
german,50,other_run_same_language_donor,93,0.174981625727921
german,50,other_run_same_language_donor,94,0.168181363356999
german,50,other_run_same_language_donor,95,0.141678662975769
german,50,other_run_same_language_donor,96,0.167874903608913
german,50,other_run_same_language_donor,97,0.176516511442768
german,50,other_run_same_language_donor,98,0.158134223576551
german,50,other_run_same_language_donor,99,0.152586600559897
german,50,other_run_same_language_donor,100,0.133284237421767
german,50,other_run_same_language_donor,101,0.17919785556663
german,50,other_language_donor,90,0.0170430752007839
german,50,other_language_donor,91,0.0075594953988349
